secret_category,tenant,trial_batch,confidence
high_entropy,attacker_after,1,0.0
high_entropy,attacker_after,3,0.06666666666666667
high_entropy,attacker_after,5,0.16
high_entropy,attacker_after,10,0.1
high_entropy,attacker_before,1,0.0
high_entropy,attacker_before,3,0.0
high_entropy,attacker_before,5,0.04
high_entropy,attacker_before,10,0.0
low_entropy,attacker_after,1,0.4
low_entropy,attacker_after,3,0.0
low_entropy,attacker_after,5,0.0
low_entropy,attacker_after,10,0.02
low_entropy,attacker_before,1,0.2
low_entropy,attacker_before,3,0.0
low_entropy,attacker_before,5,0.0
low_entropy,attacker_before,10,0.04
predictable_prefix,attacker_after,1,0.0
predictable_prefix,attacker_after,3,0.0
predictable_prefix,attacker_after,5,0.04
predictable_prefix,attacker_after,10,0.2
predictable_prefix,attacker_before,1,0.0
predictable_prefix,attacker_before,3,0.0
predictable_prefix,attacker_before,5,0.04
predictable_prefix,attacker_before,10,0.0
structured,attacker_after,1,0.2
structured,attacker_after,3,0.13333333333333333
structured,attacker_after,5,0.0
structured,attacker_after,10,0.02
structured,attacker_before,1,0.0
structured,attacker_before,3,0.0
structured,attacker_before,5,0.08
structured,attacker_before,10,0.12
