lcp_threshold,mutation_threshold,precision,recall,f1,fpr_slow,fpr_poweruser,fpr_shared_prefix
0.7,0.5,1.0,1.0,1.0,0.0,0.0,0.0
0.7,0.6,1.0,1.0,1.0,0.0,0.0,0.0
0.7,0.7,1.0,1.0,1.0,0.0,0.0,0.0
0.7,0.8,1.0,1.0,1.0,0.0,0.0,0.0
0.8,0.5,1.0,1.0,1.0,0.0,0.0,0.0
0.8,0.6,1.0,1.0,1.0,0.0,0.0,0.0
0.8,0.7,1.0,1.0,1.0,0.0,0.0,0.0
0.8,0.8,1.0,1.0,1.0,0.0,0.0,0.0
0.9,0.5,1.0,1.0,1.0,0.0,0.0,0.0
0.9,0.6,1.0,1.0,1.0,0.0,0.0,0.0
0.9,0.7,1.0,1.0,1.0,0.0,0.0,0.0
0.9,0.8,1.0,1.0,1.0,0.0,0.0,0.0
0.95,0.5,1.0,1.0,1.0,0.0,0.0,0.0
0.95,0.6,1.0,1.0,1.0,0.0,0.0,0.0
0.95,0.7,1.0,1.0,1.0,0.0,0.0,0.0
0.95,0.8,1.0,1.0,1.0,0.0,0.0,0.0
