trial,ground_truth_pin,recovered_pin,full_match
0,551498,933545,0
1,986119,952192,0
2,582676,309474,0
3,189821,754473,0
4,273042,318872,0
5,721062,394164,0
6,227105,416159,0
7,803929,621584,0
8,674724,168588,0
9,072943,869662,0
10,624739,473642,0
11,051230,845649,0
12,716697,375598,0
13,892467,123412,0
14,323857,518356,0
15,193732,173758,0
16,679123,264233,0
17,380300,249877,0
18,325723,769423,0
19,643719,158462,0
20,463152,485269,0
21,925334,127434,0
22,996176,946336,0
23,488973,998633,0
24,919013,476374,0
25,303554,842757,0
26,627844,324188,0
27,637890,510479,0
28,152704,908226,0
29,223700,423948,0
