trial,ground_truth_pin,recovered_pin,full_match
0,515738,515738,True
1,152703,152703,True
2,718518,718518,True
3,928144,928144,True
4,338552,338552,True
5,576538,576538,True
6,744435,744435,True
7,584878,584878,True
8,386086,386086,True
9,996240,996240,True
10,658107,658107,True
11,744613,744613,True
12,402159,402159,True
13,950915,950915,True
14,776434,776434,True
15,662915,662915,True
16,048639,048639,True
17,984482,984482,True
18,602906,602906,True
19,088645,088645,True
20,356474,356474,True
21,912364,912364,True
22,540307,540307,True
23,101218,101218,True
24,140987,140987,True
25,642069,642069,True
26,268637,268637,True
27,264954,264954,True
28,879468,879468,True
29,819714,819714,True
